Date,Open,High,Low,Close,Adj Close,Volume
2023-04-05,40525.000000,40950.000000,40200.000000,40900.000000,31460.587891,3738800
2023-04-06,41000.000000,41500.000000,40900.000000,41125.000000,31633.660156,5781000
2023-04-10,41200.000000,41475.000000,40350.000000,40875.000000,31441.355469,12093500
2023-04-11,38025.000000,38025.000000,38025.000000,38025.000000,34695.074219,634700
2023-04-12,35375.000000,35375.000000,35375.000000,35375.000000,32277.138672,1914000
2023-04-13,34200.000000,35000.000000,34125.000000,34600.000000,31570.007813,6879100
2023-04-14,34575.000000,34575.000000,33725.000000,33725.000000,30771.632813,5871600
2023-04-17,33700.000000,33700.000000,32200.000000,32250.000000,29425.802734,6301500
2023-04-18,32325.000000,33925.000000,32325.000000,33700.000000,30748.822266,4753400
2023-04-26,34000.000000,34275.000000,33725.000000,33875.000000,30908.498047,3251100
2023-04-27,33950.000000,33950.000000,33500.000000,33600.000000,30657.580078,1880500
2023-04-28,33600.000000,33625.000000,33150.000000,33300.000000,30383.851563,2192500
2023-05-02,33300.000000,33350.000000,31675.000000,31675.000000,28901.156250,3841100
2023-05-03,31700.000000,32200.000000,30625.000000,31750.000000,28969.587891,2839000
2023-05-04,31700.000000,31925.000000,31150.000000,31175.000000,28444.941406,2089500
2023-05-05,30600.000000,30675.000000,29575.000000,29650.000000,27053.488281,4819400
2023-05-08,29650.000000,30450.000000,29650.000000,30000.000000,27372.837891,2527800
2023-05-09,30025.000000,30300.000000,29675.000000,29875.000000,27258.785156,1824400
2023-05-10,29900.000000,30650.000000,29900.000000,30200.000000,27555.324219,1704700
2023-05-11,29300.000000,29450.000000,28250.000000,28275.000000,25798.900391,5874300
2023-05-12,28000.000000,28275.000000,27525.000000,27825.000000,25388.308594,2497500
2023-05-15,27825.000000,28350.000000,27700.000000,27750.000000,25319.875000,2256800
2023-05-16,27875.000000,28125.000000,27500.000000,27500.000000,25091.769531,1488900
2023-05-17,27500.000000,27525.000000,26150.000000,26300.000000,23996.855469,4314300
2023-05-19,26200.000000,26200.000000,24700.000000,24700.000000,22536.970703,5010200
2023-05-22,25100.000000,25500.000000,24850.000000,25175.000000,22970.373047,2899300
2023-05-23,25500.000000,25750.000000,25300.000000,25475.000000,23244.101563,2028400
2023-05-24,25300.000000,25400.000000,24775.000000,24950.000000,22765.078125,0
2023-05-25,24200.000000,24200.000000,23600.000000,23800.000000,21715.785156,3226500
2023-05-26,23500.000000,24350.000000,23400.000000,23525.000000,21464.867188,1754500
2023-05-29,23525.000000,23625.000000,22675.000000,22975.000000,20963.033203,2568000
2023-05-30,23100.000000,23375.000000,22825.000000,23075.000000,21054.275391,2273100
2023-05-31,22600.000000,22675.000000,22125.000000,22125.000000,20187.468750,3356200
2023-06-05,22500.000000,23075.000000,22325.000000,22750.000000,20757.736328,3362700
2023-06-06,23550.000000,23900.000000,23325.000000,23675.000000,21601.732422,3738400
2023-06-07,23500.000000,23550.000000,22800.000000,22900.000000,20894.599609,2980700
2023-06-08,23350.000000,23800.000000,23150.000000,23525.000000,21464.867188,2706800
2023-06-09,23550.000000,23800.000000,23175.000000,23275.000000,21236.761719,1522900
2023-06-12,23500.000000,23850.000000,23300.000000,23550.000000,21487.677734,1999300
2023-06-13,23550.000000,23550.000000,23200.000000,23500.000000,21442.056641,1178200
2023-06-14,23500.000000,23675.000000,23275.000000,23525.000000,21464.867188,1511000
2023-06-15,23525.000000,24375.000000,23375.000000,24250.000000,22126.378906,2127900
2023-06-16,24575.000000,24775.000000,24025.000000,24225.000000,22103.566406,3398900
2023-06-19,24000.000000,24225.000000,23650.000000,24000.000000,21898.271484,1177400
2023-06-20,24000.000000,24250.000000,23875.000000,23925.000000,21829.839844,1397800
2023-06-21,24075.000000,24375.000000,23900.000000,24000.000000,21898.271484,1590500
2023-06-22,24100.000000,24350.000000,24025.000000,24025.000000,21921.082031,1117500
2023-06-23,24100.000000,24225.000000,23900.000000,23900.000000,21807.027344,1705700
2023-06-26,23950.000000,24075.000000,23900.000000,24000.000000,21898.271484,841300
2023-06-27,24050.000000,24125.000000,24000.000000,24125.000000,22012.324219,954200
2023-07-03,24350.000000,24875.000000,24350.000000,24675.000000,22514.160156,2762400
2023-07-04,24700.000000,25050.000000,24700.000000,24825.000000,22651.023438,1587300
2023-07-05,24850.000000,25150.000000,24850.000000,24925.000000,22742.267578,2198700
2023-07-06,24950.000000,25775.000000,24925.000000,25600.000000,23358.156250,2399800
2023-07-07,25400.000000,25450.000000,24775.000000,24850.000000,22673.833984,3184900
2023-07-10,24900.000000,25650.000000,24900.000000,25450.000000,23221.291016,1717900
2023-07-11,25450.000000,25800.000000,25450.000000,25650.000000,23403.777344,1222300
2023-07-12,25600.000000,25600.000000,25225.000000,25250.000000,23038.806641,1113500
